cs							cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	c	cs	cs	c	c	c	c	c	c	c	cs	c	cs	c	c	cs	cs	cs	cs	cs	c	c	c	cs	cs	cs	cs	cs	cs
2022016		阿迪娜推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825199						6003	1	1				DK_Img_C_H_22	6003	DK_Img_C_H_22		DK_Role_Spine_22	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	阿迪娜豪礼	想让我带你进入夜的世界，探索那最深处的秘密吗？	2	1100%	203	204		21024					DK_img_Main_gift_bg_1						
2022017		阿迪娜推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825200						6003	1	1				DK_Img_C_H_22	6003	DK_Img_C_H_22		DK_Role_Spine_22	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	阿迪娜至尊礼包	想让我带你进入夜的世界，探索那最深处的秘密吗？	2	1230%	206	205		21045					DK_img_Main_gift_bg_1						
2022018		阿迪娜推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825201						6003	1	1				DK_Img_C_H_22	6003	DK_Img_C_H_22		DK_Role_Spine_22	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	阿迪娜至尊礼包	想让我带你进入夜的世界，探索那最深处的秘密吗？	2	1230%	206	205		21045					DK_img_Main_gift_bg_1						
2022019		弗莱彻推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825202						6003	1	1				DK_Img_C_H_30	6003	DK_Img_C_H_30		DK_Role_Spine_30	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	弗莱彻豪礼	你敢靠近我的红色斗篷，发现其中隐藏的秘密吗？	2	1100%	204	204		21025					DK_img_Main_gift_bg_1						
2022020		弗莱彻推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825203						6003	1	1				DK_Img_C_H_30	6003	DK_Img_C_H_30		DK_Role_Spine_30	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	弗莱彻至尊礼包	你敢靠近我的红色斗篷，发现其中隐藏的秘密吗？	2	1230%	207	205		21046					DK_img_Main_gift_bg_1						
2022021		弗莱彻推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825204						6003	1	1				DK_Img_C_H_30	6003	DK_Img_C_H_30		DK_Role_Spine_30	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	弗莱彻至尊礼包	你敢靠近我的红色斗篷，发现其中隐藏的秘密吗？	2	1230%	207	205		21046					DK_img_Main_gift_bg_1						
2022022		哈妮推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825205						6003	1	1				DK_Img_C_H_36	6003	DK_Img_C_H_36		DK_Role_Spine_36	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	哈妮豪礼	愿意和我一起剥开坚果，分享那隐藏在壳中的美味秘密吗？	2	1100%	205	204		21026					DK_img_Main_gift_bg_1						
2022023		哈妮推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825206						6003	1	1				DK_Img_C_H_36	6003	DK_Img_C_H_36		DK_Role_Spine_36	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	哈妮至尊礼包	愿意和我一起剥开坚果，分享那隐藏在壳中的美味秘密吗？	2	1230%	208	205		21047					DK_img_Main_gift_bg_1						
2022024		哈妮推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825207						6003	1	1				DK_Img_C_H_36	6003	DK_Img_C_H_36		DK_Role_Spine_36	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	哈妮至尊礼包	愿意和我一起剥开坚果，分享那隐藏在壳中的美味秘密吗？	2	1230%	208	205		21047					DK_img_Main_gift_bg_1						
2022025		阿什顿推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825208						6003	1	1				DK_Img_C_H_35	6003	DK_Img_C_H_35		DK_Role_Spine_35	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	阿仕顿豪礼	我的剑为你而挥，我的心为你而动，愿意成为我唯一的骑士吗？	2	1100%	107	204		21027					DK_img_Main_gift_bg_1						
2022026		阿什顿推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825209						6003	1	1				DK_Img_C_H_35	6003	DK_Img_C_H_35		DK_Role_Spine_35	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	阿什顿至尊礼包	我的剑为你而挥，我的心为你而动，愿意成为我唯一的骑士吗？	2	1230%	113	205		21048					DK_img_Main_gift_bg_1						
2022027		阿什顿推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825210						6003	1	1				DK_Img_C_H_35	6003	DK_Img_C_H_35		DK_Role_Spine_35	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	阿什顿至尊礼包	我的剑为你而挥，我的心为你而动，愿意成为我唯一的骑士吗？	2	1230%	113	205		21048					DK_img_Main_gift_bg_1						
2022028		斯隆推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825211						6003	1	1				DK_Img_C_H_32	6003	DK_Img_C_H_32		DK_Role_Spine_32	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	斯隆豪礼	在我的舞台上，每一秒钟都为你而闪耀，想不想与我共舞直到黎明？	2	1100%	107	204		21028					DK_img_Main_gift_bg_1						
2022029		斯隆推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825212						6003	1	1				DK_Img_C_H_32	6003	DK_Img_C_H_32		DK_Role_Spine_32	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	斯隆至尊礼包	在我的舞台上，每一秒钟都为你而闪耀，想不想与我共舞直到黎明？	2	1230%	113	205		21049					DK_img_Main_gift_bg_1						
2022030		斯隆推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825213						6003	1	1				DK_Img_C_H_32	6003	DK_Img_C_H_32		DK_Role_Spine_32	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	斯隆至尊礼包	在我的舞台上，每一秒钟都为你而闪耀，想不想与我共舞直到黎明？	2	1230%	113	205		21049					DK_img_Main_gift_bg_1						
2022031		海瑞克斯推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825214						6003	1	1				DK_Img_C_H_26	6003	DK_Img_C_H_26		DK_Role_Spine_26	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	海瑞克斯豪礼	让我用炽热的红发，点燃你的热情。	2	1100%	113	204		21029					DK_img_Main_gift_bg_1						
2022032		海瑞克斯推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825215						6003	1	1				DK_Img_C_H_26	6003	DK_Img_C_H_26		DK_Role_Spine_26	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	海瑞克斯至尊礼包	让我用炽热的红发，点燃你的热情。	2	1230%	113	205		21050					DK_img_Main_gift_bg_1						
2022033		海瑞克斯推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825216						6003	1	1				DK_Img_C_H_26	6003	DK_Img_C_H_26		DK_Role_Spine_26	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	海瑞克斯至尊礼包	让我用炽热的红发，点燃你的热情。	2	1230%	113	205		21050					DK_img_Main_gift_bg_1						
2022034		马琳娜推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825217						6003	1	1				DK_Img_C_H_33	6003	DK_Img_C_H_33		DK_Role_Spine_33	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	马琳娜豪礼	海浪的声音是我对你的呼唤，愿意和我一起沉浸在这无尽的深海之中吗？	2	1100%	204	204		21030					DK_img_Main_gift_bg_1						
2022035		马琳娜推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825218						6003	1	1				DK_Img_C_H_33	6003	DK_Img_C_H_33		DK_Role_Spine_33	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	马琳娜至尊礼包	海浪的声音是我对你的呼唤，愿意和我一起沉浸在这无尽的深海之中吗？	2	1230%	207	205		21051					DK_img_Main_gift_bg_1						
2022036		马琳娜推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825219						6003	1	1				DK_Img_C_H_33	6003	DK_Img_C_H_33		DK_Role_Spine_33	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	马琳娜至尊礼包	海浪的声音是我对你的呼唤，愿意和我一起沉浸在这无尽的深海之中吗？	2	1230%	207	205		21051					DK_img_Main_gift_bg_1						
2022037		爱莉希雅推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825220						6003	1	1				DK_Img_C_H_40	6003	DK_Img_C_H_40		DK_Role_Spine_40	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	爱莉希雅豪礼	在这片黑暗中，唯有你的酒馆能让我感到一丝温暖。	2	1100%	301	204		21031					DK_img_Main_gift_bg_1						
2022038		爱莉希雅推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825221						6003	1	1				DK_Img_C_H_40	6003	DK_Img_C_H_40		DK_Role_Spine_40	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	爱莉希雅至尊礼包	在这片黑暗中，唯有你的酒馆能让我感到一丝温暖。	2	1230%	401	205		21052					DK_img_Main_gift_bg_1						
2022039		爱莉希雅推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825222						6003	1	1				DK_Img_C_H_40	6003	DK_Img_C_H_40		DK_Role_Spine_40	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	爱莉希雅至尊礼包	在这片黑暗中，唯有你的酒馆能让我感到一丝温暖。	2	1230%	401	205		21052					DK_img_Main_gift_bg_1						
2022040		莉雅推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825223						6003	1	1				DK_Img_C_H_41	6003	DK_Img_C_H_41		DK_Role_Spine_41	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	莉雅豪礼	愿这里的每一个夜晚都如星辰般闪耀。	2	1100%	302	204		21032					DK_img_Main_gift_bg_1						
2022041		莉雅推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825224						6003	1	1				DK_Img_C_H_41	6003	DK_Img_C_H_41		DK_Role_Spine_41	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	莉雅至尊礼包	愿这里的每一个夜晚都如星辰般闪耀。	2	1230%	402	205		21053					DK_img_Main_gift_bg_1						
2022042		莉雅推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825225						6003	1	1				DK_Img_C_H_41	6003	DK_Img_C_H_41		DK_Role_Spine_41	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	莉雅至尊礼包	愿这里的每一个夜晚都如星辰般闪耀。	2	1230%	402	205		21053					DK_img_Main_gift_bg_1						
2022043		夜玫瑰推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825226						6003	1	1				DK_Img_C_H_42	6003	DK_Img_C_H_42		DK_Role_Spine_42	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	夜玫瑰豪礼	黑夜中的玫瑰，虽隐于暗影，却依然绽放。	2	1100%	303	204		21033					DK_img_Main_gift_bg_1						
2022044		夜玫瑰推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825227						6003	1	1				DK_Img_C_H_42	6003	DK_Img_C_H_42		DK_Role_Spine_42	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	夜玫瑰至尊礼包	黑夜中的玫瑰，虽隐于暗影，却依然绽放。	2	1230%	403	205		21054					DK_img_Main_gift_bg_1						
2022045		夜玫瑰推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825228						6003	1	1				DK_Img_C_H_42	6003	DK_Img_C_H_42		DK_Role_Spine_42	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	夜玫瑰至尊礼包	黑夜中的玫瑰，虽隐于暗影，却依然绽放。	2	1230%	403	205		21054					DK_img_Main_gift_bg_1						
2022046		凌霜推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825229						6003	1	1				DK_Img_C_H_43	6003	DK_Img_C_H_43		DK_Role_Spine_43	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	凌霜豪礼	心如止水，拳如雷霆。	2	1100%	304	204		21034					DK_img_Main_gift_bg_1						
2022047		凌霜推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825230						6003	1	1				DK_Img_C_H_43	6003	DK_Img_C_H_43		DK_Role_Spine_43	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	凌霜至尊礼包	心如止水，拳如雷霆。	2	1230%	404	205		21055					DK_img_Main_gift_bg_1						
2022048		凌霜推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825231						6003	1	1				DK_Img_C_H_43	6003	DK_Img_C_H_43		DK_Role_Spine_43	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	凌霜至尊礼包	心如止水，拳如雷霆。	2	1230%	404	205		21055					DK_img_Main_gift_bg_1						
2022049		星璃推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825232						6003	1	1				DK_Img_C_H_44	6003	DK_Img_C_H_44		DK_Role_Spine_44	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	星璃豪礼	星辰的光辉指引着我，也将照亮你的前路。	2	1100%	305	204		21035					DK_img_Main_gift_bg_1						
2022050		星璃推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825233						6003	1	1				DK_Img_C_H_44	6003	DK_Img_C_H_44		DK_Role_Spine_44	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	星璃至尊礼包	星辰的光辉指引着我，也将照亮你的前路。	2	1230%	405	205		21056					DK_img_Main_gift_bg_1						
2022051		星璃推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825234						6003	1	1				DK_Img_C_H_44	6003	DK_Img_C_H_44		DK_Role_Spine_44	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	星璃至尊礼包	星辰的光辉指引着我，也将照亮你的前路。	2	1230%	405	205		21056					DK_img_Main_gift_bg_1						
2022052		露娜推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825235						6003	1	1				DK_Img_C_H_45	6003	DK_Img_C_H_45		DK_Role_Spine_45	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	露娜豪礼	月光照亮了我的道路，也将指引你的命运。	2	1100%	306	204		21036					DK_img_Main_gift_bg_1						
2022053		露娜推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825236						6003	1	1				DK_Img_C_H_45	6003	DK_Img_C_H_45		DK_Role_Spine_45	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	露娜至尊礼包	月光照亮了我的道路，也将指引你的命运。	2	1230%	406	205		21057					DK_img_Main_gift_bg_1						
2022054		露娜推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825237						6003	1	1				DK_Img_C_H_45	6003	DK_Img_C_H_45		DK_Role_Spine_45	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	露娜至尊礼包	月光照亮了我的道路，也将指引你的命运。	2	1230%	406	205		21057					DK_img_Main_gift_bg_1						
2022055		艾琳娜推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825238						6003	1	1				DK_Img_C_H_47	6003	DK_Img_C_H_47		DK_Role_Spine_47	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	艾琳娜豪礼	每一片树叶都在低语，你能听见它们的声音吗？	2	1100%	308	204		21038					DK_img_Main_gift_bg_1						
2022056		艾琳娜推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825239						6003	1	1				DK_Img_C_H_47	6003	DK_Img_C_H_47		DK_Role_Spine_47	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	艾琳娜至尊礼包	每一片树叶都在低语，你能听见它们的声音吗？	2	1230%	408	205		21059					DK_img_Main_gift_bg_1						
2022057		艾琳娜推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825240						6003	1	1				DK_Img_C_H_47	6003	DK_Img_C_H_47		DK_Role_Spine_47	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	艾琳娜至尊礼包	每一片树叶都在低语，你能听见它们的声音吗？	2	1230%	408	205		21059					DK_img_Main_gift_bg_1						
2022058		金明珠推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825241						6003	1	1				DK_Img_C_H_48	6003	DK_Img_C_H_48		DK_Role_Spine_48	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	金明珠豪礼	我的故事只是无数传奇中的一段。你愿意听我讲述吗？	2	1100%	309	204		21039					DK_img_Main_gift_bg_1						
2022059		金明珠推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825242						6003	1	1				DK_Img_C_H_48	6003	DK_Img_C_H_48		DK_Role_Spine_48	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	金明珠至尊礼包	我的故事只是无数传奇中的一段。你愿意听我讲述吗？	2	1230%	409	205		21060					DK_img_Main_gift_bg_1						
2022060		金明珠推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825243						6003	1	1				DK_Img_C_H_48	6003	DK_Img_C_H_48		DK_Role_Spine_48	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	金明珠至尊礼包	我的故事只是无数传奇中的一段。你愿意听我讲述吗？	2	1230%	409	205		21060					DK_img_Main_gift_bg_1						
2022061		佐伊推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825244						6003	1	1				DK_Img_C_H_51	6003	DK_Img_C_H_51		DK_Role_Spine_51	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	佐伊豪礼	每一片叶子都有故事，每一阵风都在低语，而我，佐伊，正是这些故事的探寻者。	2	1100%	310	204		21063					DK_img_Main_gift_bg_1						
2022062		佐伊推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825245						6003	1	1				DK_Img_C_H_51	6003	DK_Img_C_H_51		DK_Role_Spine_51	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	佐伊至尊礼包	每一片叶子都有故事，每一阵风都在低语，而我，佐伊，正是这些故事的探寻者。	2	1230%	410	205		21064					DK_img_Main_gift_bg_1						
2022063		佐伊推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825246						6003	1	1				DK_Img_C_H_51	6003	DK_Img_C_H_51		DK_Role_Spine_51	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	佐伊至尊礼包	每一片叶子都有故事，每一阵风都在低语，而我，佐伊，正是这些故事的探寻者。	2	1230%	410	205		21064					DK_img_Main_gift_bg_1						
210921		夏日恋语-拜访礼包			限购1次	99.99	115		16			1	210921							1					DK_icon_jiaju_ValentinesDay_2		DK_icon_jiaju_ValentinesDay_2			DK_img_Activity_summer_bg_12					夏日柔情海湾	她将为你带来永不褪色的夏日记忆	1	3900%	999	205													
210917		夏日装饰特惠				19.99	111		11	5		1	210917	1	1826			1		1										DK_img_gift_bg_28	DK_img_gift_bg_8				夏日装饰特惠	她将为你带来永不褪色的夏日记忆	1	3200%	999	204													
210918		夏日装饰特惠				19.99	111		11	5		1	210918	1	1826			1		1										DK_img_gift_bg_28	DK_img_gift_bg_8				夏日装饰特惠	她将为你带来永不褪色的夏日记忆	1	4000%	999	204													
210919		夏日装饰特惠				19.99	111		11	5		1	210919	1	1826			1		1										DK_img_gift_bg_28	DK_img_gift_bg_8				夏日装饰特惠	她将为你带来永不褪色的夏日记忆	1	5000%	999	204													
210630		尼罗装饰特惠				19.99	111		11	5		1	210630	1	1829			1		1	6									DK_img_Activity_Egypt_bg_19	DK_img_gift_bg_8				尼罗装饰特惠	守望者凝视远方!	1	3200%	999	204													
210631		尼罗装饰特惠				19.99	111		11	5		1	210631	1	1829			1		1	6									DK_img_Activity_Egypt_bg_19	DK_img_gift_bg_8				尼罗装饰特惠	守望者凝视远方!	1	4000%	999	204													
210632		尼罗装饰特惠				19.99	111		11	5		1	210632	1	1829			1		1	6									DK_img_Activity_Egypt_bg_19	DK_img_gift_bg_8				尼罗装饰特惠	守望者凝视远方!	1	5000%	999	204													
2025000		建造&订单队列	队列礼包界面	1档	限购1次	4.99	105		16			1	826002					1		1	1														订单队列	永久获得五个额外的制作队列！		8888%	999	202													
2025001		建造&订单队列	队列礼包界面	2档	限购1次	4.99	105		16			1	826003					1		1	1														建造队列	建筑升级队列被占用了，购买该礼包以永久获得第二个建筑升级队列！		8888%	998	203													
2025002		建造&订单队列	队列礼包界面	3档	限购1次	7.99	106		16			1	826004					1		1	1														一键购买	永久获得第二个建筑升级队列和五个额外的制作队列！		9999%	997	204													
2026101		活动周卡-档位1	活动周卡	1档	限购1次	9.99	107		16			1	826301					1		1	1														基础周卡	节日周卡·每日自选心仪好礼，连续领取7天！		8888%	999	202													
2026102		活动周卡-档位2	活动周卡	2档	限购1次	19.99	111		16			1	826302					1		1	1														进阶周卡	节日周卡·每日自选心仪好礼，连续领取7天！		8888%	999	202													
